Oborniki Śląskie, trzebnicki, dolnośląskie;Oborniki Śląskie;55-120;51.300704;16.9125929
ok. Parku, Wisznia Mała, trzebnicki, dolnośląskie;Wisznia Mała;;51.250346;17.0484111
Małkowice, wrocławski, dolnośląskie;Małkowice;;51.076316;16.823609
Długołęka, wrocławski, dolnośląskie;Długołęka;;51.1743484;17.1933513
Wrocław, Fabryczna, Jerzmanowo;;;;
Wrocław, Fabryczna, Muchobór Wielki;;;;
Wrocław, Krzyki, Wojszyce, Iwaszkiewicza, Jarosława;;;;
Miękinia, średzki, dolnośląskie;Miękinia;;51.190964;16.7386851
Wrocław, Fabryczna, Rdestowa;;;;
Grabowno Wielkie, oleśnicki, dolnośląskie;Grabowno Wielkie;;51.3492;17.41683
Brzozowa, Szczodre, wrocławski, dolnośląskie;Szczodre;55-095;51.1944026;17.1822017
Wrocław, Psie Pole, Widawa;;;;
Ligota Piękna, trzebnicki, dolnośląskie;Ligota Piękna;55-114;51.2327723;17.0454379
Nowa Ligota, oleśnicki, dolnośląskie;Nowa Ligota;;51.1367028;17.407112
Wrocław, Fabryczna, Leśnica, Ratyń;;;;
Pasikurowice, wrocławski, dolnośląskie;Pasikurowice;;51.2104409;17.1051044
Wilkszyn, średzki, dolnośląskie;Wilkszyn;;51.1912884;16.8652332
Wrocław, Psie Pole, Kowale, ul. Ełcka;Wrocław;51-411;51.1366424;17.0814813651007
Wrocław, Psie Pole, Strachocin, Rolnicza;;;;
Wrocław, Fabryczna;Wrocław;53-609;51.1123202;16.9849992
Żurawiniec, średzki, dolnośląskie;;55-330;51.1755488;16.8146192
Wrocławska, Długołęka, wrocławski, dolnośląskie;Długołęka;;51.1743484;17.1933513
Kiełczów, wrocławski, dolnośląskie;Kiełczów;;51.1398527;17.1790872
Mokronos Górny, wrocławski, dolnośląskie;Mokronos Górny;;51.0759604;16.9191114
Akacjowa, Wróblowice, średzki, dolnośląskie;Wróblowice;;51.1575618;16.7835683
tuż za granicą Wrocławia, Nowa Wieś Wrocławska, wrocławski, dolnośląskie;Nowa Wieś Wrocławska;;51.046552;16.9141961
Malin, trzebnicki, dolnośląskie;Malin;;51.2172483;17.0622972
Wrocław, Fabryczna, Rodła;;;;
Wrocław, Psie Pole, Karłowice;Wrocław;51-146;51.1374526;17.0567506
Dobrzykowice, wrocławski, dolnośląskie;Dobrzykowice;;51.093811;17.190866
Krzyżanowice, trzebnicki, dolnośląskie;Krzyżanowice;;51.17417;17.0486879
ul. Bolesława Chrobrego, Brzezina, średzki, dolnośląskie;Brzezina;;51.2018289;16.8321775
al. Sosnowa 35, Ligota Piękna, trzebnicki, dolnośląskie;Ligota Piękna;55-114;51.2327723;17.0454379
Wrocław, Fabryczna, Marszowice, ul. Marszowicka;;;;
Szymanów, trzebnicki, dolnośląskie;Szymanów;;51.1951926;17.015325
Wrocław, Fabryczna, Strachowicka 29;;;;
Wrocław, Fabryczna, Jerzmanowo, ul. Jana Karola Chodkiewicza;;;;
Wrocław, Psie Pole;Wrocław;51-313;51.1459988;17.114733
Wrocław, Fabryczna, Leśnica, ul. Granatowa;;;;
Wrocław, Fabryczna, Ratyń, Krajobrazowa;;;;
Wrocław, Psie Pole, Pawłowice, ul. Starodębowa;Wrocław;51-378;51.1752889;17.0854669
Kryniczno, trzebnicki, dolnośląskie;Kryniczno;;51.2074747;17.0394225
Wrocław, Fabryczna, Pracze Odrzańskie;;;;
Topazowa, Kamieniec Wrocławski, wrocławski, dolnośląskie;Kamieniec Wrocławski;55-002;51.075237;17.1735569
Wrocław, Fabryczna, Leśnica, ul. Dolnobrzeska;;;;
Brzezia Łąka, wrocławski, dolnośląskie;Brzezia Łąka;;51.1229492;17.2437672
Wrocław, Fabryczna, Jerzmanowo, ul. Gałowska;;;;
Wrocław, Fabryczna, Leśnica;;;;
Wrocław, Fabryczna, Jerzmanowo, ul. Osiniecka;;;;
Wrocław, Fabryczna, Oporów;;;;
Brzezinka Średzka, średzki, dolnośląskie;Brzezinka Średzka;;51.2152266;16.8228416
Trzebnicka, Kryniczno, trzebnicki, dolnośląskie;Kryniczno;;51.2074747;17.0394225
Wrocław, Psie Pole, Strachocin;;;;
Kiełczówek, wrocławski, dolnośląskie;Kiełczówek;51-311;51.1187443;17.1878979
Kamień, wrocławski, dolnośląskie;Kamień;;51.1662532;17.2183163
