id;adres_id;wojewodztwo;powiat;gmina;miejscowosc;miejscowosc_nadrzedna;ulica;nr_domu;x92;y92;nazwa_podmiotu;maksymalna_predkosc;medium;internet_stacjonarny;telefon_stacjonarny;telewizja;wkt;teryt_g;teryt_p;teryt_w
901153;222382;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;PROSZKÓW;PROSZKÓW;;66;327213;369791;ORANGE POLSKA S.A.;DO 1;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(327213 369791);0218043;0218;02
933627;220445;DOLNOŚLĄSKIE;ŚREDZKI;MIĘKINIA;GAŁÓW;GAŁÓW;UL. BRZOZOWA;7;345590;363546;ORANGE POLSKA S.A.;DO 2;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(345590 363546);0218032;0218;02
998998;1720137;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;UL. SOKOLA;3;330851;369203;NETIA S.A.;DO 10;KABLOWE PAROWE MIEDZIANE;TAK;NIE;TAK;POINT(330851 369203);0218043;0218;02
1093588;240026;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;UL. WINNICZA;4;331653;368568;NETIA S.A.;DO 10;KABLOWE PAROWE MIEDZIANE;TAK;NIE;TAK;POINT(331653 368568);0218043;0218;02
1195631;215694;DOLNOŚLĄSKIE;ŚREDZKI;KOSTOMŁOTY;ZABŁOTO;ZABŁOTO;;25;332689;357837;ORANGE POLSKA S.A.;DO 8;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(332689 357837);0218012;0218;02
1266054;2001388;DOLNOŚLĄSKIE;ŚREDZKI;MALCZYCE;MAZUROWICE;MAZUROWICE;UL. KOLEJOWA;3;323018;374898;ORANGE POLSKA S.A.;DO 1;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(323018 374898);0218022;0218;02
1268438;232590;DOLNOŚLĄSKIE;ŚREDZKI;MIĘKINIA;GOSŁAWICE;GOSŁAWICE;;19;348367;375668;ORANGE POLSKA S.A.;DO 10;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(348367 375668);0218032;0218;02
1317341;582774;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;JASTRZĘBCE;JASTRZĘBCE;;34;328986;371457;TELION SP. Z O.O.;DO 100;ŚWIATŁOWODOWE;TAK;NIE;TAK;POINT(328986 371457);0218043;0218;02
1553770;210834;DOLNOŚLĄSKIE;ŚREDZKI;MALCZYCE;WILCZKÓW;WILCZKÓW;UL. DŁUGA;25;326355;371497;ORANGE POLSKA S.A.;DO 10;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(326355 371497);0218022;0218;02
1637422;9974770;DOLNOŚLĄSKIE;ŚREDZKI;MIĘKINIA;MROZÓW;MROZÓW;UL. AKACJOWA;1;345528;371489;ORANGE POLSKA S.A.;DO 30;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(345528 371489);0218032;0218;02
1754252;239671;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;UL. STRZELECKA;20;331831;369480;NETIA S.A.;DO 20;KABLOWE PAROWE MIEDZIANE;TAK;NIE;TAK;POINT(331831 369480);0218043;0218;02
1773866;5650604;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;ZAKRZÓW;ZAKRZÓW;;30;333565;377981;ORANGE POLSKA S.A.;DO 1;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(333565 377981);0218043;0218;02
1920273;1721037;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;CESARZOWICE;CESARZOWICE;;17A;329701;362694;ORANGE POLSKA S.A.;DO 60;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(329701 362694);0218043;0218;02
